Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_person_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Standard DRI age groups,1-3 yr,HH07,citrus fruit_raw,1288,17.7,16.64,,2.27,12.19,21.09,13.64,0,,48.35,0,95,0,65.48,,9.99,45.86,85.11,15.26,97.26,,12.84,72.03,122.48,13.2
All people,Standard DRI age groups,1-3 yr,HH08,citrus juice_frozen,1288,1.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,HH09,citrus juice_canned,1288,14.2,26.94,,3.76,19.56,34.32,13.96,0,,88.12,0,173.13,0,101.64,E,31.07,40.59,162.69,30.57,200.67,,18.44,164.44,236.89,9.19
All people,Standard DRI age groups,1-3 yr,HH10,grape juice_bottled,1288,0.8,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,HH11,grapes,1288,19.9,11.83,,1.36,9.16,14.49,11.5,0,,12.87,0,25.28,0,48.39,,5.81,36.96,59.81,12.01,75.5,,9.9,56.05,94.94,13.11
All people,Standard DRI age groups,1-3 yr,HH12,melons,1288,8.1,18.76,E,3.26,12.36,25.17,17.38,0,,182.67,0,358.9,0,0,,17.92,0,35.2,0,,F,,,,48.79
All people,Standard DRI age groups,1-3 yr,HH13,peaches,1288,2.9,3.24,E,0.97,1.32,5.15,29.94,0,,549.04,0,1078.7,0,0,,103.68,0,203.71,0,0,,35.57,0,69.88,0
All people,Standard DRI age groups,1-3 yr,HH14,pears,1288,6.3,6.09,E,1.52,3.09,9.08,24.96,0,,165.9,0,325.95,0,0,,22.33,0,43.88,0,,F,,,,44.13
All people,Standard DRI age groups,1-3 yr,HH15,pineapple,1288,2.6,1.67,E,0.54,0.62,2.73,32.34,0,,326.42,0,641.33,0,0,,113.67,0,223.33,0,0,,46.88,0,92.11,0
All people,Standard DRI age groups,1-3 yr,HH16,plums and prunes,1288,1.7,,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Standard DRI age groups,1-3 yr,HH17,raisins,1288,5.5,1.08,E,0.25,0.58,1.58,23.15,0,,220.83,0,433.88,0,0,,11.32,0,22.24,0,,F,,,,107.72
All people,Standard DRI age groups,1-3 yr,HH18,raspberries,1288,5.4,2.03,E,0.56,0.92,3.14,27.59,0,,123.04,0,241.74,0,0,,10.29,0,20.22,0,,F,,,,187.38
All people,Standard DRI age groups,1-3 yr,HH19,strawberries,1288,17.7,11.12,E,2.31,6.57,15.66,20.77,0,,11.95,0,23.49,0,36,E,6.15,23.92,48.08,17.08,72,,11.19,50.01,93.99,15.54
